SubscriptionID,SubscriptionName,PreTaxCost,UsageDate,ServiceName
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0001766925,20250223,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),57360.9529001443,20250223,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),3693.984,20250223,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),24502.800299456,20250223,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),1249.5588,20250223,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),810.4176,20250224,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250224,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),11.3995161290323,20250224,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),2496.46389677419,20250224,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),20.8427368214583,20250224,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),376.521828185091,20250224,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250224,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),59.6564516129032,20250224,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),220.898219580806,20250224,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),4213.73665940106,20250224,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),112172.092401965,20250224,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),9381.9432578308,20250224,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250224,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),113.0832,20250224,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.68791128,20250224,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),6313.98275185846,20250224,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),107.4756118714,20250224,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),732.671216,20250224,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.000141354,20250224,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),58415.7717312982,20250224,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),3693.984,20250224,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),24509.3993598203,20250224,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),1249.5588,20250224,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),810.4176,20250225,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250225,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),11.3995161290323,20250225,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),2496.46389677419,20250225,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),20.4478041291667,20250225,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),377.4917713271,20250225,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250225,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),59.6564516129032,20250225,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),220.900375637672,20250225,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),4937.69938026955,20250225,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),157336.5719959,20250225,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),9389.1260255236,20250225,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250225,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),113.0832,20250225,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.68814687,20250225,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),6312.78076510588,20250225,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),107.43352433584,20250225,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),718.53608,20250225,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.000141354,20250225,Service Bus,INR
